Block;Run;Comments;Temperature cooling drum;dry coat weight 8 passes;length of roll;Tochter;trimming;number of layers;U/W Ten. Average 8 layers;R/W Ten. Average 8 layers;boat power;Std.Abw. boat power;resistivity;wire feed rate;solid content of ink (release coat);normalized wire feed rate;cylinder;evaporation pressure;erwartete Qualitätsstufe;d10;d50;d90;span;release coat in final product;release coat / Oberfläche;Al(0);toluene (bath);Gloss 20°;Dullness;hiding dE110°;L*-15°;L*15°;L*25°;L*45°;L*75°;L*110°;a*-15°;a*15°;a*25°;a*45°;a*75;a*110°;b*-15°;b*15°;b*25°;b*45°;b*75°;b*110°;Flop;STEM average particle thickness;STEM T-span;particles < 12 nm;particles < 20 nm;particles > 35 nm;Rheology flow point;Rheology LVE area;yield in production;GC (foil) Aceton;GC (foil) Butanon;GC (foil) Toluol
Block 1;49;7-218 6-9623;0;2.23;40000;Tochter2;nein;8;516.7;375;8.923;0.492;3.108;112.221;6.75;1.56;alt;0.00042;;9.88;20.9;35.61;1.23;5.3;;73.2;;233;;10.5;137.7;111.3;;26;;12.5;0.7;-0.1;;0.6;;0.5;1.7;1.3;;2.2;;1.2;26.73;25.1;0.19;1.4;6;7.4;;;;;;
Block 1;50;7-221 6-9737;0;2;40000;Tochter1;nein;8;512.5;368.75;8.851;0.484;3.101;113.602;8.52;1.574;alt;0.00036;;10.5;21.4;35.7;1.17;5.19;;73.55;;226;;8.3;134.6;108.1;;24.1;;11.2;0.8;0.2;;0.6;;0.6;2;1.6;;2.2;;1.2;27.92;25.3;0.22;0;2.6;0;;;;;;
Block 1;51;7-221 6-9838;0;2;40000;Tochter2;nein;8;512.5;368.75;8.851;0.484;3.101;113.602;8.52;1.574;alt;0.00036;;10.5;21.5;37.2;1.22;4.8;;73.6;;287;;10;134.9;107.5;;24.1;;11.4;0.8;0.3;;0.7;;0.6;2.9;2.5;;2.3;;1.4;27.67;25;0.18;0;2.6;1.3;;;;;;
Block 1;52;7-225 6-9530;0;1.32;40000;Tochter1;nein;8;528.13;368.75;8.867;0.572;3.104;112.417;3.74;1.572;alt;0.00043;;;;;;;;;;228;64.1;12.73;141.59;113.49;;26.41;;12.92;0.25;-0.02;;0.52;;0.35;2.14;2.04;;1.99;0.81;1.13;26.9;25.8;0.18;0;1.8;4.2;;;;;;
Block 1;53;7-225 6-9646;0;1.32;40000;Tochter2;nein;8;528.13;368.75;8.867;0.572;3.104;112.417;3.74;1.572;alt;0.00043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;54;7-335 6-10255;0;1.77;40000;Tochter1;nein;8;537.5;368.75;8.752;0.443;3.124;108.597;6.27;1.578;alt;0.00091;;10.09;22.95;40.2;1.28;4.98;;72.6;;228;;8.6;140.7;113.9;;27.2;;12.9;0.6;0.1;;0.5;;0.4;1.7;1.5;;2;;1;26.35;24.5;0.25;3.9;7.1;5.8;;;;;;
Block 1;55;7-335 6-10309;0;1.77;40000;Tochter2;nein;8;537.5;368.75;8.752;0.443;3.124;108.597;6.27;1.578;alt;0.00091;;10.2;22.9;41.5;1.35;4.3;;74.5;;249;;9.5;139.2;113.3;;25.7;;11.9;0.8;-0.2;;0.5;;0.3;1.1;0.9;;1.8;;0.6;27.79;25.1;0.19;0;2.7;4.3;;;;;;
Block 1;56;7-336 6-10249;0;1.76;40000;Tochter1;nein;8;531.25;368.75;8.763;0.949;3.1;108.424;6.27;1.579;alt;0.00174;;10.16;21.4;36.59;1.22;4.3;;73.9;;231;;4.5;138.7;115.1;;26.5;;12.7;0.5;-0.1;;0.5;;0.4;1.3;0.8;;1.9;;0.9;27.36;25.8;0.16;0;1;5;;;;;;
Block 1;57;7-336 6-10277;0;1.76;40000;Tochter2;nein;8;531.25;368.75;8.763;0.949;3.1;108.424;6.27;1.579;alt;0.00174;;9.8;21.5;37.75;1.29;4.5;;74.2;;223;;8.9;141;113.8;;26;;12.1;0.5;-0.1;;0.5;;0.3;1.6;1.5;;1.9;;0.8;27.61;25.1;0.19;0.5;4;7;;;;;;
Block 1;58;7-337 6-10332;0;1.81;40000;Tochter1;nein;8;531.25;368.75;8.901;0.567;2.975;105.737;6.27;1.572;alt;0.00056;;10.5;22.6;39.4;1.27;4.4;;73.2;;266;;8.3;137.7;109.4;;24.7;;11.1;0.7;-0.2;;0.5;;0.4;0.8;;;1.7;;0.6;27.78;25;0.2;0.9;3.1;2.2;;;;;;
Block 1;59;7-337 6-10374;0;1.81;40000;Tochter2;nein;8;531.25;368.75;8.901;0.567;2.975;105.737;6.27;1.572;alt;0.00056;;10.15;22.4;39.3;1.3;4.7;;73.3;;232;;7.4;136.9;110.3;;24.9;;11.3;0.7;0.2;;0.6;;0.4;2.3;2;;1.9;;1;27.81;24.9;0.22;1.2;7.7;2.9;;;;;;
